Block Position,Hook Load,PVT,Time,Note,Note_Param,Zone_Line,,,,,,Depth,ROP,WOB,RPM,Torque,SPP,SPM,Flow Out
5.079999924,76.40000153,66.80000305,1:19:50 AM,,,,,,,,,,,,0,0,65,0,
4.349999905,67.90000153,66.73999786,1:20:00 AM,,,,,,,,,,,,0,0,65,0,
3.130000114,66,66.69999695,1:20:10 AM,,,,,,,,,,,,0,0,59,0,
2.75999999,79.80000305,66.73000336,1:20:20 AM,,,,,,,,,,,,0,0,65,0,
2.670000076,77.69999695,66.73000336,1:20:30 AM,,,,,,,,,,,,0,0,59,0,
2.680000067,76.19999695,66.73000336,1:20:40 AM,,,,,,,,,,,,0,0,65,0,
2.960000038,78.19999695,66.75,1:20:50 AM,,,,,,,,,,,,0,0,59,0,
3.430000067,77.5,66.81999969,1:21:00 AM,,,,,,,,,,,,0,0,59,0,
3.75,78.19999695,66.79000092,1:21:10 AM,,,,,,,,,,,,0,0,65,0,
4.210000038,81,66.79000092,1:21:20 AM,,,,,,,,,,,,0,0,65,0,
4.510000229,82.19999695,66.76999664,1:21:30 AM,,,,,,,,,,,,0,0,65,0,
4.989999771,83.19999695,66.70999908,1:21:40 AM,,,,,,,,,,,,0,0,65,0,
5.28000021,84.69999695,66.73999786,1:21:50 AM,,,,,,,,,,,,0,0,65,0,
5.46999979,82.09999847,66.73999786,1:22:00 AM,,,,,,,,,,,,0,0,65,0,
5.679999828,82.19999695,66.81999969,1:22:10 AM,,,,,,,,,,,,0,0,65,0,
2.170000076,75,66.87000275,1:22:20 AM,,,,,,,,,,,,0,0,65,0,
2.170000076,74.80000305,66.90000153,1:22:30 AM,,,,,,,,,,,,0,0,65,0,
1.679999948,20,66.86000061,1:22:40 AM,,,,,,,,,,,,0,0,65,0,
1.649999976,20.10000038,66.91000366,1:22:50 AM,,,,,,,,,,,,0,238,65,0,
1.649999976,20.10000038,66.87000275,1:23:00 AM,,,,,,,,,,,,0,518,65,0,
1.649999976,19.89999962,66.87999725,1:23:10 AM,,,,,,,,,,,,0,94,65,0,
1.649999976,19.70000076,66.94000244,1:23:20 AM,,,,,,,,,,,,0,207,65,0,
1.320000052,19.89999962,66.80999756,1:23:30 AM,,,,,,,,,,,,17,134,65,0,
1.169999957,19,66.83999634,1:23:40 AM,,,,,,,,,,,,17,67,59,0,
1.00999999,18.5,66.84999847,1:23:50 AM,,,,,,,,,,,,17,270,59,0,
1.00999999,16.89999962,66.87000275,1:24:00 AM,,,,,,,,,,,,17,290,65,0,
1.00999999,18.29999924,66.94999695,1:24:10 AM,,,,,,,,,,,,17,155,65,0,
1.00999999,18.79999924,66.90000153,1:24:20 AM,,,,,,,,,,,,17,343,65,0,
1.00999999,18.79999924,66.88999939,1:24:30 AM,,,,,,,,,,,,17,121,59,0,
0.939999998,19.20000076,66.83999634,1:24:40 AM,,,,,,,,,,,,17,113,65,0,
0.939999998,18.89999962,66.79000092,1:24:50 AM,,,,,,,,,,,,17,258,65,0,
0.939999998,18.60000038,66.91999817,1:25:00 AM,,,,,,,,,,,,0,6084,65,0,
0.939999998,18.60000038,66.91000366,1:25:10 AM,,,,,,,,,,,,0,13436,59,0,
0.939999998,18.60000038,66.87000275,1:25:20 AM,,,,,,,,,,,,0,2179,59,0,
0.939999998,18.60000038,66.86000061,1:25:30 AM,,,,,,,,,,,,0,0,65,0,
0.939999998,18.70000076,66.80000305,1:25:40 AM,,,,,,,,,,,,0,0,65,0,
1.110000014,72.69999695,66.80000305,1:25:50 AM,,,,,,,,,,,,0,9,81,0,
1.429999948,74.40000153,66.73999786,1:26:00 AM,,,,,,,,,,,,0,21,135,0,
1.730000019,78.19999695,66.66999817,1:26:10 AM,,,,,,,,,,,,0,0,195,0,
1.940000057,81,66.70999908,1:26:20 AM,,,,,,,,,,,,0,0,471,4,
2.210000038,82.59999847,66.69000244,1:26:30 AM,,,,,,,,,,,,0,0,991,8,
2.400000095,84.30000305,66.68000031,1:26:40 AM,,,,,,,,,,,,0,0,1986,14,
2.869999886,81.19999695,66.61000061,1:26:50 AM,,,,,,,,,,,,0,0,3365,16,
2.869999886,79.5,66.62000275,1:27:00 AM,,,,,,,,,,,,0,0,2732,17,
2.869999886,79.09999847,66.51999664,1:27:10 AM,,,,,,,,,,,,0,0,2800,16,
2.869999886,79.09999847,66.48999786,1:27:20 AM,Start Pumping Out,SPM,,,,,,,,,,0,77,2890,15,
2.869999886,79.09999847,66.47000122,1:27:30 AM,Start Pumping Out,SPP,,,,,,,,,,0,86,2936,15,
2.869999886,79.09999847,66.44000244,1:27:40 AM,,,,,,,,,,,,0,18,3433,16,
2.869999886,79,66.38999939,1:27:50 AM,,,,,,,,,,,,0,156,4563,18,
2.869999886,78.90000153,66.48000336,1:28:00 AM,,,,,,,,,,,,0,509,4993,21,
3.049999952,79.59999847,66.41000366,1:28:10 AM,,,,,,,,,,,,0,166,5468,25,
3.210000038,79.80000305,66.38999939,1:28:20 AM,,,,,,,,,,,,0,177,6169,31,
3.779999971,80,66.33000183,1:28:30 AM,,,,,,,,,,,,0,83,7231,35,
4.230000019,81.90000153,66.31999969,1:28:40 AM,,,,,,,,,,,,0,0,7683,41,
4.809999943,79.30000305,66.27999878,1:28:50 AM,,,,,,,,,,,,0,0,8070,46,
4.809999943,79,66.26000214,1:29:00 AM,,,,,,,,,,,,0,0,8440,86,
4.820000172,78.40000153,66.16999817,1:29:10 AM,,,,,,,,,,,,0,0,8920,87,
4.900000095,78.09999847,66.19000244,1:29:20 AM,,,,,,,,,,,,0,0,9964,74,
5.440000057,79.90000153,66.11000061,1:29:30 AM,,,,,,,,,,,,0,0,11791,74,
5.78000021,83.09999847,66.05000305,1:29:40 AM,,,,,,,,,,,,0,0,12875,74,
6.289999962,88,65.93000031,1:29:50 AM,,,,,,,,,,,,0,0,14196,74,
6.079999924,92.1000061,65.83999634,1:30:00 AM,,,,,,,,,,,,0,0,15380,74,
4.75,86,65.80999756,1:30:10 AM,,,,,,,,,,,,0,0,16144,74,
3.690000057,69.90000153,65.79000092,1:30:20 AM,,,,,,,,,,,,0,0,17003,74,
2.869999886,61.40000153,65.70999908,1:30:30 AM,,,,,,,,,,,,0,0,17385,74,
2.369999886,70.40000153,65.73000336,1:30:40 AM,,,,,,,,,,,,0,0,17462,73,
2.230000019,71.09999847,65.61000061,1:30:50 AM,,,,,,,,,,,,0,0,17194,72,
2.289999962,73,65.51999664,1:31:00 AM,,,,,,,,,,,,15,580,17557,72,
2.599999905,78.09999847,65.48999786,1:31:10 AM,,,,,,,,,,,,28,2047,17404,72,
3.160000086,76.69999695,65.41000366,1:31:20 AM,,,,,,,,,,,,29,2213,17404,71,
3.730000019,76.59999847,65.30000305,1:31:30 AM,,,,,,,,,,,,28,3070,17424,71,
4.159999847,75.80000305,65.20999908,1:31:40 AM,,,,,,,,,,,,28,3365,17213,71,
4.949999809,74.30000305,65.18000031,1:31:50 AM,,,,,,,,,,,,28,2769,17366,71,
5.46999979,77.5,65.13999939,1:32:00 AM,,,,,,,,,,,,29,2941,17156,71,
5.909999847,82.80000305,65.12000275,1:32:10 AM,,,,,,,,,,,,28,4763,17347,71,
5.909999847,84.90000153,65.06999969,1:32:20 AM,,,,,,,,,,,,28,6047,17309,71,
5.909999847,85.30000305,64.98000336,1:32:30 AM,,,,,,,,,,,,28,7890,17328,71,
4.949999809,83.69999695,64.91999817,1:32:40 AM,,,,,,,,,,,,28,9523,17806,71,
3.839999914,71.09999847,64.81999969,1:32:50 AM,,,,,,,,,,,,28,9978,17825,71,
3.059999943,62.30000305,64.84999847,1:33:00 AM,,,,,,,,,,,,28,11620,18302,71,
2.630000114,57.09999847,64.77999878,1:33:10 AM,,,,,,,,,,,,26,12613,18130,71,
2.410000086,53,64.68000031,1:33:20 AM,,,,,,,,,,,,9,13257,18016,71,
1.940000057,48.40000153,64.65000153,1:33:30 AM,,,,,,,,,,,,1,13427,18226,71,
1.570000052,44.90000153,64.61000061,1:33:40 AM,,,,,,,,,,,,2,13240,17882,71,
1.200000048,39.5,64.55000305,1:33:50 AM,,,,,,,,,,,,0,13132,18016,71,
0.910000026,35.80000305,64.40000153,1:34:00 AM,Loss Of String Weight,Hook Load,,,,,,,,,,0,13171,18035,71,
0.819999993,33.40000153,64.33000183,1:34:10 AM,(Low Slack-Off Weight),Hook Load,,,,,,,,,,0,13249,17825,71,
0.819999993,32.09999847,64.33000183,1:34:20 AM,,,,,,,,,,,,0,13456,17939,71,
0.819999993,32.09999847,64.30999756,1:34:30 AM,,,,,,,,,,,,0,13241,17691,71,
0.819999993,31.90000153,64.30999756,1:34:40 AM,,,,,,,,,,,,0,13199,17596,71,
0.75999999,32,64.27999878,1:34:50 AM,,,,,,,,,,,,0,13150,17672,71,
0.720000029,32.09999847,64.19999695,1:35:00 AM,,,,,,,,,,,,0,13263,17366,71,
0.720000029,80.5,64.11000061,1:35:10 AM,,,,,,,,,,,,29,9650,17347,71,
0.720000029,74.59999847,64.09999847,1:35:20 AM,,,,,,,,,,,,37,993,16946,71,
0.730000019,73.40000153,64.02999878,1:35:30 AM,,,,,,,,,,,,37,2802,17424,71,
0.99000001,73.30000305,64.02999878,1:35:40 AM,,,,,,,,,,,,37,3629,17462,71,
1.25999999,73.80000305,64.08000183,1:35:50 AM,,,,,,,,,,,,37,2117,17213,71,
1.49000001,76.19999695,64.08999634,1:36:00 AM,,,,,,,,,,,,37,3172,17290,71,
1.529999971,75,63.97999954,1:36:10 AM,,,,,,,,,,,,37,5077,17213,71,
1.879999995,76.19999695,63.95000076,1:36:20 AM,,,,,,,,,,,,37,7402,17061,71,
1.970000029,75.59999847,63.86000061,1:36:30 AM,,,,,,,,,,,,37,4897,17099,71,
1.970000029,74.5,63.93000031,1:36:40 AM,,,,,,,,,,,,37,1541,17213,71,
2.470000029,74.40000153,63.86999893,1:36:50 AM,,,,,,,,,,,,37,3161,17500,71,
2.829999924,74.80000305,63.77000046,1:37:00 AM,,,,,,,,,,,,37,2841,17557,71,
3.299999952,76.19999695,63.77999878,1:37:10 AM,,,,,,,,,,,,37,3473,17366,71,
3.450000048,75.19999695,63.81000137,1:37:20 AM,,,,,,,,,,,,37,4198,17710,71,
3.839999914,76.09999847,63.79999924,1:37:30 AM,,,,,,,,,,,,37,6031,17443,71,
3.829999924,74.40000153,63.81000137,1:37:40 AM,,,,,,,,,,,,37,4367,17424,71,
3.829999924,74.30000305,63.84000015,1:37:50 AM,,,,,,,,,,,,37,1553,17691,71,
3.839999914,74.19999695,63.75,1:38:00 AM,,,,,,,,,,,,37,4288,17653,71,
3.930000067,73.69999695,63.65999985,1:38:10 AM,,,,,,,,,,,,37,2920,17806,71,
3.99000001,73.80000305,63.63999939,1:38:20 AM,,,,,,,,,,,,37,3375,17691,71,
4.099999905,73.59999847,63.66999817,1:38:30 AM,,,,,,,,,,,,37,3084,17767,71,
4.110000134,73.90000153,63.68000031,1:38:40 AM,,,,,,,,,,,,37,4166,17863,71,
4.190000057,74,63.61999893,1:38:50 AM,,,,,,,,,,,,37,2543,17634,71,
4.269999981,73.40000153,63.58000183,1:39:00 AM,,,,,,,,,,,,37,2748,17729,71,
4.300000191,73.69999695,63.54000092,1:39:10 AM,,,,,,,,,,,,37,3066,17710,71,
4.360000134,73.90000153,63.54999924,1:39:20 AM,,,,,,,,,,,,37,2983,17615,71,
4.46999979,73.69999695,63.56000137,1:39:30 AM,,,,,,,,,,,,37,3115,17882,71,
4.559999943,74.30000305,63.59999847,1:39:40 AM,,,,,,,,,,,,37,4352,17596,71,
4.659999847,74.09999847,63.56000137,1:39:50 AM,,,,,,,,,,,,37,2913,17882,71,
4.670000076,74.90000153,63.5,1:40:00 AM,,,,,,,,,,,,37,5501,17634,71,
4.670000076,74.30000305,63.59999847,1:40:10 AM,,,,,,,,,,,,37,5292,17481,71,
4.670000076,74.19999695,63.61999893,1:40:20 AM,,,,,,,,,,,,37,7928,17939,71,
4.670000076,74.19999695,63.58000183,1:40:30 AM,,,,,,,,,,,,37,10202,17691,71,
4.670000076,74.40000153,63.59999847,1:40:40 AM,,,,,,,,,,,,37,11867,17882,71,
4.659999847,74.30000305,63.54999924,1:40:50 AM,,,,,,,,,,,,37,9896,17576,71,
4.590000153,73.90000153,63.50999832,1:41:00 AM,,,,,,,,,,,,37,1404,17500,71,
4.570000172,73.30000305,63.52000046,1:41:10 AM,,,,,,,,,,,,37,3967,17997,71,
4.590000153,72.59999847,63.49000168,1:41:20 AM,,,,,,,,,,,,37,5702,17806,71,
4.590000153,73.59999847,63.54000092,1:41:30 AM,,,,,,,,,,,,37,4299,17596,71,
4.599999905,73.59999847,63.54000092,1:41:40 AM,,,,,,,,,,,,42,2908,17844,71,
4.599999905,73.59999847,63.54000092,1:41:50 AM,,,,,,,,,,,,42,3158,17634,71,
4.630000114,73.90000153,63.49000168,1:42:00 AM,,,,,,,,,,,,42,3596,17882,71,
4.739999771,74.09999847,63.50999832,1:42:10 AM,,,,,,,,,,,,42,3360,17806,71,
4.739999771,73.80000305,63.50999832,1:42:20 AM,,,,,,,,,,,,42,4240,17691,71,
4.800000191,73.40000153,63.49000168,1:42:30 AM,,,,,,,,,,,,42,5964,17939,71,
4.849999905,73.90000153,63.45999908,1:42:40 AM,,,,,,,,,,,,42,6998,17787,71,
4.849999905,74.30000305,63.43999863,1:42:50 AM,,,,,,,,,,,,42,7225,17806,71,
4.860000134,74.40000153,63.45000076,1:43:00 AM,,,,,,,,,,,,42,11218,17767,71,
4.800000191,75.09999847,63.5,1:43:10 AM,,,,,,,,,,,,31,13146,17806,71,
4.639999866,74.59999847,63.52999878,1:43:20 AM,,,,,,,,,,,,0,13284,18054,71,
3.640000105,70.90000153,63.50999832,1:43:30 AM,,,,,,,,,,,,5,13410,18054,71,
3.450000048,72.69999695,63.47000122,1:43:40 AM,,,,,,,,,,,,42,4957,16965,71,
3.450000048,73.80000305,63.45999908,1:43:50 AM,,,,,,,,,,,,42,1471,18092,71,
3.5,74.09999847,63.52000046,1:44:00 AM,,,,,,,,,,,,42,3184,17958,71,
3.640000105,73.69999695,63.47000122,1:44:10 AM,,,,,,,,,,,,42,4302,17978,71,
3.690000057,73.80000305,63.41999817,1:44:20 AM,,,,,,,,,,,,42,2503,17901,71,
3.769999981,73.59999847,63.45000076,1:44:30 AM,,,,,,,,,,,,42,3910,17844,71,
3.819999933,73.5,63.45999908,1:44:40 AM,,,,,,,,,,,,42,2963,17958,71,
3.890000105,73.5,63.49000168,1:44:50 AM,,,,,,,,,,,,42,2995,17576,71,
3.960000038,73.5,63.5,1:45:00 AM,,,,,,,,,,,,42,2937,17863,71,
4.039999962,73.40000153,63.49000168,1:45:10 AM,,,,,,,,,,,,42,2780,17787,71,
4.099999905,73.69999695,63.5,1:45:20 AM,,,,,,,,,,,,42,3338,17825,71,
4.159999847,73.5,63.47999954,1:45:30 AM,,,,,,,,,,,,42,3102,17882,71,
4.239999771,73.59999847,63.47000122,1:45:40 AM,,,,,,,,,,,,42,2861,17691,71,
4.28000021,73.80000305,63.52999878,1:45:50 AM,,,,,,,,,,,,42,2873,17729,71,
4.329999924,73.69999695,63.52000046,1:46:00 AM,,,,,,,,,,,,42,2943,17901,71,
4.409999847,73.69999695,63.43999863,1:46:10 AM,,,,,,,,,,,,42,2994,17691,71,
4.46999979,73.69999695,63.45000076,1:46:20 AM,,,,,,,,,,,,42,3124,17710,71,
4.53000021,73.69999695,63.49000168,1:46:30 AM,,,,,,,,,,,,42,3156,17729,71,
4.599999905,73.90000153,63.45999908,1:46:40 AM,,,,,,,,,,,,42,3832,17653,71,
4.679999828,73.80000305,63.40999985,1:46:50 AM,,,,,,,,,,,,42,3253,17825,71,
4.730000019,73.80000305,63.40000153,1:47:00 AM,,,,,,,,,,,,42,2873,17691,71,
4.800000191,73.80000305,63.43999863,1:47:10 AM,,,,,,,,,,,,42,5084,17844,71,
4.800000191,74,63.52999878,1:47:20 AM,,,,,,,,,,,,42,6151,17825,71,
