Time of Data Collect,Kelly Position,Torque at rotary,RPM at rotary,HKLD,SPP,,PVT,SPM1,SPM2,SPM3,Trip Tank,RPM
28/3/2026 1:13,2.640000105,4231,60,115.5,27927,28/3/2026 1:13,60.08000183,84,0,0,3.144999981,60
28/3/2026 1:13,2.640000105,4131,60,115.5,27887,28/3/2026 1:13,60.06000137,84,0,0,3.144999981,60
28/3/2026 1:13,2.640000105,3955,60,115.4000015,28086,28/3/2026 1:13,60.11000061,84,0,0,3.144000053,60
28/3/2026 1:13,2.640000105,3882,60,115.5,27887,28/3/2026 1:13,60.11000061,84,0,0,3.147000074,60
28/3/2026 1:14,2.640000105,4090,60,115.5,27867,28/3/2026 1:14,60.08000183,84,0,0,3.148000002,60
28/3/2026 1:14,2.640000105,4192,60,115.4000015,27986,28/3/2026 1:14,60.11000061,84,0,0,3.148000002,60
28/3/2026 1:14,2.640000105,4294,60,115.5999985,27847,28/3/2026 1:14,60.11999893,84,0,0,3.147000074,60
28/3/2026 1:14,2.640000105,4423,60,115.5,28026,28/3/2026 1:14,60.22999954,84,0,0,3.147000074,60
28/3/2026 1:14,2.640000105,4013,60,115.5,28086,28/3/2026 1:14,60.24000168,84,0,0,3.148000002,60
28/3/2026 1:14,2.640000105,4186,60,115.5999985,27986,28/3/2026 1:14,60.18000031,84,0,0,3.148000002,60
28/3/2026 1:14,2.640000105,3938,60,115.5,28105,28/3/2026 1:14,60.18000031,84,0,0,3.150000095,60
28/3/2026 1:14,2.640000105,3886,60,115.5999985,28205,28/3/2026 1:14,60.06999969,84,0,0,3.148000002,60
28/3/2026 1:14,2.640000105,3775,60,115.6999969,28006,28/3/2026 1:14,60.08000183,84,0,0,3.148999929,60
28/3/2026 1:14,2.640000105,4068,60,115.6999969,28145,28/3/2026 1:14,60.09000015,84,0,0,3.148000002,60
28/3/2026 1:14,2.640000105,3577,60,115.6999969,27867,28/3/2026 1:14,60.09000015,84,0,0,3.148000002,60
28/3/2026 1:14,2.640000105,4021,60,115.6999969,27807,28/3/2026 1:14,60.15999985,84,0,0,3.148999929,60
28/3/2026 1:15,2.640000105,4052,60,115.6999969,27867,28/3/2026 1:15,60.15999985,84,0,0,3.150000095,60
28/3/2026 1:15,2.640000105,4382,60,115.9000015,27966,28/3/2026 1:15,60.15000153,84,0,0,3.151000023,60
28/3/2026 1:15,2.640000105,4251,60,115.8000031,27887,28/3/2026 1:15,60.18000031,84,0,0,3.148999929,60
28/3/2026 1:15,2.640000105,4034,60,115.8000031,27946,28/3/2026 1:15,60.15000153,84,0,0,3.148999929,60
28/3/2026 1:15,2.640000105,4154,60,115.9000015,27807,28/3/2026 1:15,60.09000015,84,0,0,3.151000023,60
28/3/2026 1:15,2.640000105,3885,60,115.9000015,27728,28/3/2026 1:15,60.06999969,84,0,0,3.148000002,60
28/3/2026 1:15,2.640000105,3618,60,116,28026,28/3/2026 1:15,60.15000153,84,0,0,3.148000002,60
28/3/2026 1:15,2.640000105,3545,60,116,27787,28/3/2026 1:15,60.15000153,84,0,0,3.147000074,60
28/3/2026 1:15,2.640000105,3760,60,115.9000015,27668,28/3/2026 1:15,60.18000031,84,0,0,3.145999908,60
28/3/2026 1:15,2.640000105,3618,60,116,28006,28/3/2026 1:15,60.15999985,84,0,0,3.148000002,60
28/3/2026 1:15,2.640000105,3949,60,116,27609,28/3/2026 1:15,60.18999863,84,0,0,3.148000002,60
28/3/2026 1:15,2.650000095,3907,60,116.0999985,27708,28/3/2026 1:15,60.22999954,84,0,0,3.148000002,60
28/3/2026 1:16,2.640000105,4249,60,116,27529,28/3/2026 1:16,60.13999939,84,0,0,3.147000074,60
28/3/2026 1:16,2.640000105,3979,60,116.0999985,27748,28/3/2026 1:16,60.15000153,84,0,0,3.147000074,60
28/3/2026 1:16,2.640000105,4080,60,116,27847,28/3/2026 1:16,60.18999863,84,0,0,3.148000002,60
28/3/2026 1:16,2.650000095,3907,60,116,27728,28/3/2026 1:16,60.16999817,84,0,0,3.150000095,60
28/3/2026 1:16,2.640000105,3774,60,116.0999985,27708,28/3/2026 1:16,60.16999817,84,0,0,3.151000023,60
28/3/2026 1:16,2.640000105,3628,60,116,27946,28/3/2026 1:16,60.16999817,84,0,0,3.15199995,60
28/3/2026 1:16,2.640000105,3553,60,116.0999985,27668,28/3/2026 1:16,60.18999863,84,0,0,3.153000116,60
28/3/2026 1:16,2.640000105,3768,60,116.0999985,27827,28/3/2026 1:16,60.20999908,84,0,0,3.153000116,60
28/3/2026 1:16,2.640000105,3768,60,116.1999969,27986,28/3/2026 1:16,60.22999954,84,0,0,3.153000116,60
28/3/2026 1:16,2.640000105,4084,60,116.3000031,28145,28/3/2026 1:16,60.20999908,84,0,0,3.154000044,60
28/3/2026 1:16,2.640000105,4428,60,116.1999969,27986,28/3/2026 1:16,60.15999985,84,0,0,3.154000044,60
28/3/2026 1:16,2.640000105,3961,60,116.1999969,28145,28/3/2026 1:16,60.16999817,84,0,0,3.154000044,60
28/3/2026 1:17,2.650000095,4616,60,116.3000031,27807,28/3/2026 1:17,60,84,0,0,3.154000044,60
28/3/2026 1:17,2.640000105,4354,60,116.3000031,27986,28/3/2026 1:17,60.02000046,84,0,0,3.15199995,60
28/3/2026 1:17,2.640000105,3771,60,116.1999969,28026,28/3/2026 1:17,60.08000183,84,0,0,3.15199995,60
